Contest	Contest number	Party number	Endorsement number	Endorser number	Supplemental search	Endorser	Description	State	Region	DATE	Cal quart	Pol quart	Cal dichot	Pol dichot	Endorsee	Nominee	Count	Adjusted count	Weight	Adjusted weight	Pond	Weighted pond	Home state endorsement	Home region endorsement	Another candidate's home state endorsement	Another candidate's home region endorsement	Geography	Weighted geography	Own group endorsement	Another candidate's group endorsement	Group	Weighted group	Endorser's ideology	Ideological distance	Weighted ideological distance	Breadth	Breadth dummy	Weighted breadth																			
1980D	1	1	1	5162	0	Cardiss Collins	Chair black congressional caucus	IL	Midwest	2/14/79	1	1	1	1	Kennedy	0	1	1	0.6	0.6	1	0.6	0	0	0	0	1	0.600	0	0	0.5	0.300	0.563	0.063	0.038	0.031	1	0.019																			
1980D	1	1	2	5057	0	Andrew Stein	Borough president	NY	Northeast	2/28/79	1	1	1	1	Kennedy	0	1	1	0.1	0.1	1	0.1	0	1	0	0	0.5	0.050	0	0	0.5	0.050	0.000	0.500	0.050	0.125	1	0.013																			
1980D	1	1	3	350	0	Bill Fenton	President International Association of Machinists	IA	Plains	3/17/79	1	1	1	1	Kennedy	0	1	1	0.4	0.4	0	0.0	0	0	0	0	1	0.400	0	0	0.5	0.200	 		 																						
1980D	1	1	4	1797	0	Hugh Gallen	Governor	NH	Northeast	3/23/79	1	1	1	1	Carter	1	1	1	0.8	0.8	0	0.0	0	0	0	1	1	0.800	0	0	0.5	0.400	 																								
1980D	1	1	5	3453	0	Paul O'Dwyer	Former city council president	NY	Northeast	3/26/79	1	1	1	1	Kennedy	0	1	1	0.1	0.1	0	0.0	0	1	0	0	0.5	0.050	1	0	0	0.000	1.000	0.500	0.050	0.000	0	0.000																			
1980D	1	1	6	5725	0	Robert Abrams	State attorney general	NY	Northeast	3/26/79	1	1	1	1	Kennedy	0	1	1	0.2	0.2	1	0.2	0	1	0	0	0.5	0.100	0	0	0.5	0.100	1.000	0.500	0.100	0.125	1	0.025																			
1980D	1	1	7	1553	0	George Hardy	President SEIU	CA	West	4/21/79	2	1	1	1	Brown	0	1	1	0.4	0.4	0	0.0	1	1	0	0	0	0.000	0	0	0.5	0.200		 																							
1980D	1	1	8	5692	0	Ralph Nader	Consumer advocate	DC	Own	5/8/79	2	1	1	1	Kennedy	0	1	1	0.2	0.2	1	0.2	0	0	0	0	1	0.200	0	0	0.5	0.100	1.000	0.500	0.100	0.250	1	0.050																			
1980D	1	1	9	5851	0	Toby Moffett	U.S. rep.	CT	Northeast	5/21/79	2	1	1	1	Kennedy	0	1	1	0.4	0.4	1	0.4	0	1	0	0	0.5	0.200	0	0	0.5	0.200	0.219	0.281	0.112	0.070	1	0.028																			
1980D	1	1	10	1289	0	Edward Beard	U.S. rep.	RI	Northeast	5/23/79	2	1	1	1	Kennedy	0	1	1	0.4	0.4	0	0.0	0	1	0	0	0.5	0.200	0	0	0.5	0.200	-0.189	0.689	0.276	0.172	1	0.069																			
1980D	1	1	11	5674	0	Pete Stark	U.S. rep.	CA	West	5/23/79	2	1	1	1	Kennedy	0	1	1	0.4	0.4	1	0.4	0	0	1	1	1	0.400	0	0	0.5	0.200	0.857	0.357	0.143	0.179	1	0.071																			
1980D	1	1	12	3702	0	Richard Nolan	U.S. rep.	MN	Plains	5/23/79	2	1	1	1	Kennedy	0	1	1	0.4	0.4	0	0.0	0	0	0	0	1	0.400	0	0	0.5	0.200	0.551	0.051	0.020	0.026	1	0.010																			
1980D	1	1	13	3705	0	Richard Ottinger	U.S. rep.	NY	Northeast	5/23/79	2	1	1	1	Kennedy	0	1	1	0.4	0.4	0	0.0	0	1	0	0	0.5	0.200	0	0	0.5	0.200	0.435	0.065	0.026	0.016	1	0.007																			
1980D	1	1	14	2982	0	Martin Hughes	Vice-president International Communication Workers Union	OH	Midwest	5/24/79	2	1	1	1	Carter	1	1	1	0.2	0.2	0	0.0	0	0	0	0	1	0.200	0	0	0.5	0.100																									
