cong,icpsr,statecode,state,party,name,ideo,role,x2,loglike,nvotes,classerrs,gmp,district
56,9209,41,ALABAMA,100,TAYLOR,-0.324,,-0.159,-20.5091,73,5,0.755,1
56,8828,41,ALABAMA,100,STALLINGS,-0.604,,-0.797,-14.50056,53,8,0.761,2
56,1821,41,ALABAMA,100,CLAYTON H.D,-0.589,,-0.146,-15.06682,113,8,0.875,3
56,75,41,ALABAMA,200,ALDRICH,0.608,,-0.781,-15.19262,79,8,0.825,4
56,1017,41,ALABAMA,100,BREWER,-0.612,,-0.209,-9.66919,77,5,0.882,5
56,403,41,ALABAMA,100,BANKHEAD,-0.336,,-0.847,-13.01594,98,5,0.876,6
56,1291,41,ALABAMA,100,BURNETT,-0.521,,0.034,-10.72086,75,7,0.867,7
56,7882,41,ALABAMA,100,RICHARDSON,-0.54,,-0.262,-11.41479,54,5,0.809,8
56,9560,41,ALABAMA,100,UNDERWOOD,-0.765,W,0.242,-17.69074,115,5,0.857,9
56,6202,42,ARKANSA,100,MCCULLOCH,-0.8,,0.554,-11.20837,97,5,0.891,1
56,5702,42,ARKANSA,100,LITTLE,-0.585,,0.639,-10.28044,124,3,0.92,2
56,6379,42,ARKANSA,100,MCRAE,-0.464,,0.886,-18.64179,91,9,0.815,3
56,9265,42,ARKANSA,100,TERRY,-0.446,,0.223,-14.11874,100,5,0.868,4
56,2608,42,ARKANSA,100,DINSMORE,-0.681,,0.732,-12.87869,108,7,0.888,5
56,1164,42,ARKANSA,100,BRUNDIDGE,-0.513,,0.598,-9.71485,111,3,0.916,6
56,432,71,CALIFOR,200,BARHAM,0.567,,-0.413,-8.95919,87,4,0.902,1
56,2535,71,CALIFOR,100,DEVRIES,-0.155,,0.709,-12.72938,58,4,0.803,2
56,10356,71,CALIFOR,200,WOODS,0.36,,0.624,-3.59813,26,1,0.871,2
56,6443,71,CALIFOR,200,METCALF,0.404,,0.851,-10.98069,63,6,0.84,3
56,5090,71,CALIFOR,200,KAHN,0.396,,-0.452,-13.44555,90,4,0.861,4
56,5784,71,CALIFOR,200,LOUD,0.41,,0.912,-58.52215,81,21,0.486,5
56,9863,71,CALIFOR,200,WATERS,0.326,,0.218,-11.32228,87,4,0.878,6
56,6854,71,CALIFOR,200,NEEDHAM,0.287,,0.597,-26.34639,115,13,0.795,7
56,8394,62,COLORAD,354,SHAFROTH,-0.259,,0.935,-20.55686,114,9,0.835,1
56,607,62,COLORAD,340,BELL,-0.309,,0.781,-24.91127,121,13,0.814,2
56,4331,1,CONNECT,200,HENRY  E.S.,0.624,,0.371,-19.70837,104,8,0.827,1
56,8793,1,CONNECT,200,SPERRY,0.6,,-0.546,-5.25703,98,0,0.948,2
56,8124,1,CONNECT,200,RUSELL,0.544,,-0.551,-8.49451,108,3,0.924,3
56,4409,1,CONNECT,200,HILL,0.693,,0.303,-11.42603,117,4,0.907,4
56,4484,11,DELAWAR,200,HOFFECKER J,0.506,,-0.055,-3.83823,74,2,0.949,1
56,4485,11,DELAWAR,200,HOFFECKER W,0.469,,-0.099,-7.20121,53,4,0.873,1
56,8765,43,FLORIDA,100,SPARKMAN,-0.395,,-0.272,-8.09676,48,3,0.845,1
56,2408,43,FLORIDA,100,DAVIS,-0.429,,-0.207,-24.44704,110,10,0.801,2
56,5620,44,GEORGIA,100,LESTER,-0.887,,-0.463,-15.56596,96,7,0.85,1
56,3832,44,GEORGIA,100,GRIGGS,-0.635,,0.238,-15.45951,90,9,0.842,2
56,5638,44,GEORGIA,100,LEWIS,-0.793,,-0.447,-8.78267,102,2,0.917,3
56,44,44,GEORGIA,100,ADAMSON,-0.724,,-0.69,-7.42737,100,2,0.928,4
56,5717,44,GEORGIA,100,LIVINGSTON,-0.356,,-0.486,-25.87817,92,11,0.755,5
56,485,44,GEORGIA,100,BARTLETT,-0.684,,-0.498,-5.56748,80,2,0.933,6
56,5901,44,GEORGIA,100,MADDOX,-0.923,,0.048,-10.65116,122,5,0.916,7
56,4635,44,GEORGIA,100,HOWARD,-0.501,,0.042,-23.51091,97,14,0.785,8
56,9184,44,GEORGIA,100,TATE,-0.29,,0.153,-19.18595,67,10,0.751,9
56,3214,44,GEORGIA,100,FLEMING,-0.267,,0.402,-40.42265,92,14,0.644,10
56,979,44,GEORGIA,100,BRANTLEY,-0.477,,-0.031,-20.00731,104,8,0.825,11
56,10213,63,IDAHO,354,WILSON  E.,-0.211,,-0.154,-26.15287,87,11,0.74,1
56,5959,21,ILLINOI,200,MANN,0.192,,0.557,-40.08875,96,15,0.659,1
56,5781,21,ILLINOI,200,LORIMER,0.223,,-0.794,-11.88623,55,6,0.806,2
56,3305,21,ILLINOI,100,FOSTER,-0.339,,-0.556,-12.24499,79,5,0.856,3
56,2276,21,ILLINOI,100,CUSACK,-0.291,,-0.549,-9.72723,41,3,0.789,4
56,6952,21,ILLINOI,100,NOONAN,-0.238,,-0.114,-14.83545,53,6,0.756,5
56,887,21,ILLINOI,200,BOUTELL,0.286,,0.078,-28.17916,121,13,0.792,6
56,3297,21,ILLINOI,200,FOSS,0.508,,-0.046,-3.88189,98,0,0.961,7
56,4564,21,ILLINOI,200,HOPKINS,0.467,,-0.035,-12.94319,104,5,0.883,8
56,4458,21,ILLINOI,200,HITT,0.684,,0.006,-21.60367,98,9,0.802,9
56,7624,21,ILLINOI,200,PRINCE,0.306,,0.628,-10.70232,82,4,0.878,10
56,7805,21,ILLINOI,200,REEVES,0.513,,0.581,-7.61729,64,4,0.888,11
56,1483,21,ILLINOI,200,CANNON,0.82,,0.572,-28.21771,107,12,0.768,12
56,9836,21,ILLINOI,200,WARNER,0.274,,0.084,-22.68312,95,10,0.788,13
56,3730,21,ILLINOI,200,GRAFF,0.308,,0.592,-22.7522,122,11,0.83,14
