"cong","icpsr","statecode","state","name","ideo","role","x2","leader","party","last_ideo","cong_ideo_mean","party_del","last_cong_ideo_mean","ideo_dif"
56,9209,41,"ALABAMA","TAYLOR",-0.324,"",-0.159,"N","D",NA,-0.440157232704402,NA,NA,-0.116157232704402
56,8828,41,"ALABAMA","STALLINGS",-0.604,"",-0.797,"N","D",NA,-0.440157232704402,NA,NA,0.163842767295597
56,1821,41,"ALABAMA","CLAYTON H.D",-0.589,"",-0.146,"N","D",NA,-0.440157232704402,NA,NA,0.148842767295597
56,1017,41,"ALABAMA","BREWER",-0.612,"",-0.209,"N","D",NA,-0.440157232704402,NA,NA,0.171842767295597
56,403,41,"ALABAMA","BANKHEAD",-0.336,"",-0.847,"N","D",NA,-0.440157232704402,NA,NA,-0.104157232704402
56,1291,41,"ALABAMA","BURNETT",-0.521,"",0.034,"N","D",NA,-0.440157232704402,NA,NA,0.0808427672955975
56,7882,41,"ALABAMA","RICHARDSON",-0.54,"",-0.262,"N","D",NA,-0.440157232704402,NA,NA,0.0998427672955975
56,9560,41,"ALABAMA","UNDERWOOD",-0.765,"W",0.242,"Y","D",NA,-0.440157232704402,NA,NA,0.324842767295598
56,6202,42,"ARKANSA","MCCULLOCH",-0.8,"",0.554,"N","D",NA,-0.440157232704402,NA,NA,0.359842767295598
56,5702,42,"ARKANSA","LITTLE",-0.585,"",0.639,"N","D",NA,-0.440157232704402,NA,NA,0.144842767295597
56,6379,42,"ARKANSA","MCRAE",-0.464,"",0.886,"N","D",NA,-0.440157232704402,NA,NA,0.0238427672955975
56,9265,42,"ARKANSA","TERRY",-0.446,"",0.223,"N","D",NA,-0.440157232704402,NA,NA,0.00584276729559752
56,2608,42,"ARKANSA","DINSMORE",-0.681,"",0.732,"N","D",NA,-0.440157232704402,NA,NA,0.240842767295598
56,1164,42,"ARKANSA","BRUNDIDGE",-0.513,"",0.598,"N","D",NA,-0.440157232704402,NA,NA,0.0728427672955975
56,2535,71,"CALIFOR","DEVRIES",-0.155,"",0.709,"N","D",NA,-0.440157232704402,NA,NA,-0.285157232704403
56,8765,43,"FLORIDA","SPARKMAN",-0.395,"",-0.272,"N","D",NA,-0.440157232704402,NA,NA,-0.0451572327044025
56,2408,43,"FLORIDA","DAVIS",-0.429,"",-0.207,"N","D",NA,-0.440157232704402,NA,NA,-0.0111572327044025
56,5620,44,"GEORGIA","LESTER",-0.887,"",-0.463,"N","D",NA,-0.440157232704402,NA,NA,0.446842767295598
56,3832,44,"GEORGIA","GRIGGS",-0.635,"",0.238,"N","D",NA,-0.440157232704402,NA,NA,0.194842767295598
56,5638,44,"GEORGIA","LEWIS",-0.793,"",-0.447,"N","D",NA,-0.440157232704402,NA,NA,0.352842767295598
56,44,44,"GEORGIA","ADAMSON",-0.724,"",-0.69,"N","D",NA,-0.440157232704402,NA,NA,0.283842767295597
56,5717,44,"GEORGIA","LIVINGSTON",-0.356,"",-0.486,"N","D",NA,-0.440157232704402,NA,NA,-0.0841572327044025
56,485,44,"GEORGIA","BARTLETT",-0.684,"",-0.498,"N","D",NA,-0.440157232704402,NA,NA,0.243842767295598
56,5901,44,"GEORGIA","MADDOX",-0.923,"",0.048,"N","D",NA,-0.440157232704402,NA,NA,0.482842767295598
56,4635,44,"GEORGIA","HOWARD",-0.501,"",0.042,"N","D",NA,-0.440157232704402,NA,NA,0.0608427672955975
56,9184,44,"GEORGIA","TATE",-0.29,"",0.153,"N","D",NA,-0.440157232704402,NA,NA,-0.150157232704403
56,3214,44,"GEORGIA","FLEMING",-0.267,"",0.402,"N","D",NA,-0.440157232704402,NA,NA,-0.173157232704402
56,979,44,"GEORGIA","BRANTLEY",-0.477,"",-0.031,"N","D",NA,-0.440157232704402,NA,NA,0.0368427672955975
