"cong","icpsr","statecode","state","name","ideo","role","x2","leader","party","last_ideo","cong_ideo_mean","party_del","last_cong_ideo_mean","ideo_dif"
56,75,41,"ALABAMA","ALDRICH",0.608,"",-0.781,"N","R",NA,0.459685863874346,NA,NA,-0.148314136125654
56,432,71,"CALIFOR","BARHAM",0.567,"",-0.413,"N","R",NA,0.459685863874346,NA,NA,-0.107314136125654
56,10356,71,"CALIFOR","WOODS",0.36,"",0.624,"N","R",NA,0.459685863874346,NA,NA,0.0996858638743456
56,6443,71,"CALIFOR","METCALF",0.404,"",0.851,"N","R",NA,0.459685863874346,NA,NA,0.0556858638743455
56,5090,71,"CALIFOR","KAHN",0.396,"",-0.452,"N","R",NA,0.459685863874346,NA,NA,0.0636858638743455
56,5784,71,"CALIFOR","LOUD",0.41,"",0.912,"N","R",NA,0.459685863874346,NA,NA,0.0496858638743456
56,9863,71,"CALIFOR","WATERS",0.326,"",0.218,"N","R",NA,0.459685863874346,NA,NA,0.133685863874346
56,6854,71,"CALIFOR","NEEDHAM",0.287,"",0.597,"N","R",NA,0.459685863874346,NA,NA,0.172685863874346
56,4331,1,"CONNECT","HENRY  E.S.",0.624,"",0.371,"N","R",NA,0.459685863874346,NA,NA,-0.164314136125654
56,8793,1,"CONNECT","SPERRY",0.6,"",-0.546,"N","R",NA,0.459685863874346,NA,NA,-0.140314136125654
56,8124,1,"CONNECT","RUSELL",0.544,"",-0.551,"N","R",NA,0.459685863874346,NA,NA,-0.0843141361256545
56,4409,1,"CONNECT","HILL",0.693,"",0.303,"N","R",NA,0.459685863874346,NA,NA,-0.233314136125654
56,4484,11,"DELAWAR","HOFFECKER J",0.506,"",-0.055,"N","R",NA,0.459685863874346,NA,NA,-0.0463141361256544
56,4485,11,"DELAWAR","HOFFECKER W",0.469,"",-0.099,"N","R",NA,0.459685863874346,NA,NA,-0.0093141361256544
56,5959,21,"ILLINOI","MANN",0.192,"",0.557,"N","R",NA,0.459685863874346,NA,NA,0.267685863874346
56,5781,21,"ILLINOI","LORIMER",0.223,"",-0.794,"N","R",NA,0.459685863874346,NA,NA,0.236685863874346
56,887,21,"ILLINOI","BOUTELL",0.286,"",0.078,"N","R",NA,0.459685863874346,NA,NA,0.173685863874346
56,3297,21,"ILLINOI","FOSS",0.508,"",-0.046,"N","R",NA,0.459685863874346,NA,NA,-0.0483141361256544
56,4564,21,"ILLINOI","HOPKINS",0.467,"",-0.035,"N","R",NA,0.459685863874346,NA,NA,-0.00731413612565446
56,4458,21,"ILLINOI","HITT",0.684,"",0.006,"N","R",NA,0.459685863874346,NA,NA,-0.224314136125654
56,7624,21,"ILLINOI","PRINCE",0.306,"",0.628,"N","R",NA,0.459685863874346,NA,NA,0.153685863874346
56,7805,21,"ILLINOI","REEVES",0.513,"",0.581,"N","R",NA,0.459685863874346,NA,NA,-0.0533141361256544
56,1483,21,"ILLINOI","CANNON",0.82,"",0.572,"N","R",NA,0.459685863874346,NA,NA,-0.360314136125654
56,9836,21,"ILLINOI","WARNER",0.274,"",0.084,"N","R",NA,0.459685863874346,NA,NA,0.185685863874346
56,3730,21,"ILLINOI","GRAFF",0.308,"",0.592,"N","R",NA,0.459685863874346,NA,NA,0.151685863874346
56,5992,21,"ILLINOI","MARSH",0.457,"",0.622,"N","R",NA,0.459685863874346,NA,NA,0.00268586387434555
56,8007,21,"ILLINOI","RODENBERG",0.459,"",0.269,"N","R",NA,0.459685863874346,NA,NA,0.000685863874345549
56,8624,21,"ILLINOI","SMITH  G.W.",0.49,"",0.711,"N","R",NA,0.459685863874346,NA,NA,-0.0303141361256544
