cong,icpsr,statecode,district,state,party,name,ideo,x2,loglike,nvotes,classerrs,gmp,role,power,leader
66,9560,41,0,ALABAMA,100,UNDERWOOD O,-0.239,-0.971,-70.03128,310,24,0.798,L,,
66,403,41,0,ALABAMA,100,BANKHEAD  J,-0.15,-0.989,-16.44458,98,5,0.846,,,
66,1962,41,0,ALABAMA,100,COMER  B.B.,-0.321,-0.947,-11.67415,50,6,0.792,,,
66,4280,41,0,ALABAMA,100,HEFLIN  J.T,-0.394,-0.786,-18.78258,74,7,0.776,,,
66,8665,61,0,ARIZONA,100,SMITH  M.A.,-0.207,-0.807,-51.95806,214,26,0.784,,,
66,273,61,0,ARIZONA,100,ASHURST H.F,-0.263,-0.488,-86.63297,294,42,0.745,,,
66,7986,42,0,ARKANSA,100,ROBINSON  J,-0.294,-0.956,-46.12382,243,21,0.827,,,
66,5290,42,0,ARKANSA,100,KIRBY  W.F.,-0.296,-0.469,-93.34509,311,40,0.741,,,
66,7395,71,0,CALIFOR,100,PHELAN  J.D,-0.288,-0.505,-109.02129,293,57,0.689,,,
66,4962,71,0,CALIFOR,200,JOHNSON H.W,0.215,0.949,-30.49923,184,17,0.847,,,
66,7422,62,0,COLORAD,200,PHIPPS  L.C,0.664,-0.042,-42.4139,353,14,0.887,,,
66,9288,62,0,COLORAD,100,THOMAS  C.S,-0.045,-0.793,-180.67653,295,86,0.542,,,
66,6335,1,0,CONNECT,200,MCLEAN  G.P,0.593,0.058,-53.62074,268,23,0.819,,,
66,978,1,0,CONNECT,200,BRANDEGEE F,0.883,0.434,-85.61338,347,40,0.781,,,
66,10304,11,0,DELAWAR,100,WOLCOTT J.O,-0.257,-0.851,-64.89088,280,24,0.793,,,
66,395,11,0,DELAWAR,200,BALL  L.H.,0.574,0.05,-37.35238,299,13,0.883,,,
66,9456,43,0,FLORIDA,100,TRAMMELL  P,-0.354,-0.379,-102.6504,377,45,0.762,,,
66,3216,43,0,FLORIDA,100,FLETCHER  D,-0.234,-0.667,-92.81502,300,42,0.734,,,
66,8633,44,0,GEORGIA,100,SMITH  H.,-0.092,-0.441,-126.60589,295,68,0.651,,,
66,4120,44,0,GEORGIA,100,HARRIS  W.J,-0.403,-0.7,-82.90974,357,38,0.793,,,
66,858,63,0,IDAHO,200,BORAH  W.E.,0.085,0.759,-81.95267,318,40,0.773,,,
66,6986,63,0,IDAHO,100,NUGENT  J.F,-0.301,-0.39,-76.79742,325,30,0.79,,,
66,3676,63,0,IDAHO,200,GOODING F.R,0.375,0.47,-15.31481,60,7,0.775,,,
66,8456,21,0,ILLINOI,200,SHERMAN L.Y,0.718,0.696,-48.01142,218,24,0.802,,,
66,6181,21,0,ILLINOI,200,MCCORMICK M,0.413,0.515,-36.65905,245,15,0.861,,,
66,9875,22,0,INDIANA,200,WATSON  J.E,0.516,0.123,-33.07483,275,14,0.887,,,
66,6887,22,0,INDIANA,200,NEW  H.S.,0.583,0.103,-50.82746,383,18,0.876,,,
66,2252,31,0,IOWA,200,CUMMINS A.B,0.222,0.057,-70.88238,261,33,0.762,,,
66,5198,31,0,IOWA,200,KENYON  W.S,0.077,0.203,-100.12851,338,48,0.744,,,
66,1494,32,0,KANSAS,200,CAPPER  A.,0.118,0.199,-102.92426,384,53,0.765,,,
66,2269,32,0,KANSAS,200,CURTIS  C.,0.27,0.166,-70.94451,359,32,0.821,W,,
66,564,51,0,KENTUCK,100,BECKHAM J.C,-0.203,-0.837,-68.85384,279,31,0.781,,,
66,8838,51,0,KENTUCK,100,STANLEY A.O,-0.324,-0.841,-52.51499,245,25,0.807,,,
66,3512,45,0,LOUISIA,100,GAY  E.J.,-0.26,-0.915,-79.46526,317,40,0.778,,,
66,7734,45,0,LOUISIA,100,RANSDELL  J,-0.237,-0.838,-80.16162,336,37,0.788,,,
66,3919,2,0,MAINE,200,HALE  F.,0.326,-0.274,-58.07648,373,16,0.856,,,
66,3113,2,0,MAINE,200,FERNALD B.M,0.576,0.233,-45.60852,289,19,0.854,,,
66,3332,52,0,MARYLAN,200,FRANCE  J.I,0.43,0.801,-80.13631,332,46,0.786,,,
66,8658,52,0,MARYLAN,100,SMITH  J.W.,-0.237,-0.971,-40.47858,263,16,0.857,,,
66,5738,3,0,MASSACH,200,LODGE  H.C.,0.632,0.075,-45.36598,344,20,0.876,L,,
66,9782,3,0,MASSACH,100,WALSH  D.I.,-0.28,0.095,-105.52442,314,44,0.715,,,
66,9434,23,0,MICHIGA,200,TOWNSEND  C,0.2,-0.153,-68.48309,308,26,0.801,,,
66,6890,23,0,MICHIGA,200,NEWBERRY  T,0.698,-0.034,-17.28086,137,6,0.881,,,
66,6870,33,0,MINNESO,200,NELSON  K.,0.153,-0.336,-71.29517,275,31,0.772,,,
66,5143,33,0,MINNESO,200,KELLOGG F.B,0.282,-0.314,-45.4537,331,16,0.872,,,
66,4126,46,0,MISSISS,100,HARRISON  P,-0.492,-0.723,-71.29964,363,21,0.822,,,
66,10165,46,0,MISSISS,100,WILLIAMS  J,-0.198,-0.98,-94.72405,292,40,0.723,,,
66,7786,34,0,MISSOUR,100,REED  J.A.,-0.111,0.226,-134.01984,270,62,0.609,,,
66,8790,34,0,MISSOUR,200,SPENCER S.P,0.211,-0.079,-91.80788,370,36,0.78,,,
66,9788,64,0,MONTANA,100,WALSH  T.J.,-0.281,-0.808,-72.60383,318,40,0.796,,,
66,6837,64,0,MONTANA,100,MYERS  H.L.,-0.055,-0.826,-98.11166,289,46,0.712,,,
66,6960,35,0,NEBRASK,200,NORRIS  G.W,0.011,0.99,-46.66656,313,18,0.861,,,
66,4454,35,0,NEBRASK,100,HITCHCOCK G,-0.302,-0.752,-59.83193,280,25,0.808,,,
66,7473,65,0,NEVADA,100,PITTMAN  K.,-0.237,-0.618,-76.91895,300,35,0.774,,,
66,4305,65,0,NEVADA,100,HENDERSON C,-0.212,-0.534,-99.11378,303,49,0.721,,,
66,6750,4,0,NEW HAM,200,MOSES  G.H.,0.622,0.386,-80.16135,328,39,0.783,,,
66,5227,4,0,NEW HAM,200,KEYES  H.W.,0.261,-0.271,-86.32,363,34,0.788,,,
66,2844,12,0,NEW JER,200,EDGE  W.E.,0.488,-0.437,-30.66928,259,11,0.888,,,
66,3363,12,0,NEW JER,200,FRELINGHUYS,0.634,0.165,-48.15166,300,23,0.852,,,
66,5023,66,0,NEW MEX,100,JONES  A.A.,-0.252,-0.71,-87.50761,319,43,0.76,,,
66,3053,66,0,NEW MEX,200,FALL  A.B.,0.373,0.252,-32.68224,134,18,0.784,,,
66,9705,13,0,NEW YOR,200,WADSWORTH J,0.69,-0.015,-53.50345,355,25,0.86,,,
66,1399,13,0,NEW YOR,200,CALDER  W.M,0.632,-0.02,-42.94135,293,23,0.864,,,
66,7120,47,0,NORTH C,100,OVERMAN L.S,-0.32,-0.743,-78.90569,307,37,0.773,,,
66,8514,47,0,NORTH C,100,SIMMONS F.M,-0.33,-0.892,-52.65191,299,19,0.839,,,
66,6208,36,0,NORTH D,200,MCCUMBER  P,0.256,-0.698,-65.96486,243,34,0.762,,,
66,3849,36,0,NORTH D,200,GRONNA  A.J,0.086,0.996,-82.23055,340,34,0.785,,,
66,7516,24,0,OHIO,100,POMERENE  A,-0.121,-0.758,-107.72048,323,51,0.716,,,
66,4059,24,0,OHIO,200,HARDING W.G,0.522,0,-32.44621,218,13,0.862,,,
66,10203,24,0,OHIO,200,WILLIS  F.B,0.531,0.582,-13.4726,65,3,0.813,,,
66,7133,53,0,OKLAHOM,100,OWEN  R.L.,-0.3,-0.374,-49.90784,172,24,0.748,,,
66,3706,53,0,OKLAHOM,100,GORE  T.P.,-0.176,0.238,-85.75046,233,49,0.692,,,
66,6367,72,0,OREGON,200,MCNARY  C.L,0.059,-0.123,-117.69884,372,52,0.729,,,
66,1622,72,0,OREGON,100,CHAMBERLAIN,-0.168,-0.516,-102.28818,289,45,0.702,,,
66,5347,14,0,PENNSYL,200,KNOX  P.C.,0.75,0.425,-44.19575,257,22,0.842,,,
66,7332,14,0,PENNSYL,200,PENROSE  B.,0.809,0.432,-21.56857,134,11,0.851,,,
66,1957,5,0,RHODE I,200,COLT  L.B.B,0.251,-0.275,-57.63177,306,24,0.828,,,
66,3544,5,0,RHODE I,100,GERRY  P.G.,-0.241,-0.743,-79.00011,292,31,0.763,W,,
66,8613,48,0,SOUTH C,100,SMITH  E.D.,-0.366,-0.855,-58.2587,310,25,0.829,,,
66,2552,48,0,SOUTH C,100,DIAL  N.B.,-0.303,-0.953,-97.45853,352,47,0.758,,,
66,4950,37,0,SOUTH D,100,JOHNSON E.S,-0.394,-0.522,-41.61102,208,12,0.819,,,
66,8902,37,0,SOUTH D,200,STERLING  T,0.202,-0.219,-88.2144,357,43,0.781,,,
66,8471,54,0,TENNESS,100,SHIELDS J.K,-0.07,0.092,-95.9338,219,47,0.645,,,
66,6293,54,0,TENNESS,100,MCKELLAR  K,-0.379,-0.582,-71.43768,380,20,0.829,,,
66,2229,49,0,TEXAS,100,CULBERSON C,-0.391,-0.565,-33.28905,192,14,0.841,,,
66,8446,49,0,TEXAS,100,SHEPPARD  M,-0.385,-0.482,-95.65961,396,33,0.785,,,
66,5274,67,0,UTAH,100,KING  W.H.,-0.173,-0.66,-208.0602,336,110,0.538,,,
66,8713,67,0,UTAH,200,SMOOT  R.,0.293,-0.127,-94.39158,370,42,0.775,,,
66,2597,6,0,VERMONT,200,DILLINGHAM,0.532,-0.038,-53.87644,320,21,0.845,,,
66,7152,6,0,VERMONT,200,PAGE  C.S.,0.526,-0.056,-47.86301,290,15,0.848,,,
66,9106,40,0,VIRGINI,100,SWANSON C.H,-0.354,-0.935,-41.98028,246,17,0.843,,,
66,3625,40,0,VIRGINI,100,GLASS  C.,-0.287,-0.958,-36.28041,149,17,0.784,,,
66,7502,73,0,WASHING,200,POINDEXTER,0.435,0.19,-102.74442,316,47,0.722,,,
66,5065,73,0,WASHING,200,JONES  W.L.,0.248,0.175,-88.19122,355,39,0.78,,,
66,9093,56,0,WEST VI,200,SUTHERLAND,0.416,0.137,-77.17715,334,36,0.794,,,
66,2898,56,0,WEST VI,200,ELKINS  D.,0.646,0.087,-55.92321,295,23,0.827,,,
