"cong","icpsr","statecode","district","state","name","ideo","x2","role","leader","party","cong_ideo_mean","party_del","last_cong_ideo_mean","ideo_dif","last_ideo"
66,9560,41,0,"ALABAMA","UNDERWOOD O",-0.239,-0.971,"L","Y","D",-0.261775510204082,NA,NA,-0.0227755102040816,NA
66,403,41,0,"ALABAMA","BANKHEAD  J",-0.15,-0.989,"","N","D",-0.261775510204082,NA,NA,-0.111775510204082,NA
66,1962,41,0,"ALABAMA","COMER  B.B.",-0.321,-0.947,"","N","D",-0.261775510204082,NA,NA,0.0592244897959184,NA
66,4280,41,0,"ALABAMA","HEFLIN  J.T",-0.394,-0.786,"","N","D",-0.261775510204082,NA,NA,0.132224489795918,NA
66,8665,61,0,"ARIZONA","SMITH  M.A.",-0.207,-0.807,"","N","D",-0.261775510204082,NA,NA,-0.0547755102040816,NA
66,273,61,0,"ARIZONA","ASHURST H.F",-0.263,-0.488,"","N","D",-0.261775510204082,NA,NA,0.00122448979591838,NA
66,7986,42,0,"ARKANSA","ROBINSON  J",-0.294,-0.956,"","N","D",-0.261775510204082,NA,NA,0.0322244897959184,NA
66,5290,42,0,"ARKANSA","KIRBY  W.F.",-0.296,-0.469,"","N","D",-0.261775510204082,NA,NA,0.0342244897959184,NA
66,7395,71,0,"CALIFOR","PHELAN  J.D",-0.288,-0.505,"","N","D",-0.261775510204082,NA,NA,0.0262244897959183,NA
66,9288,62,0,"COLORAD","THOMAS  C.S",-0.045,-0.793,"","N","D",-0.261775510204082,NA,NA,-0.216775510204082,NA
66,10304,11,0,"DELAWAR","WOLCOTT J.O",-0.257,-0.851,"","N","D",-0.261775510204082,NA,NA,-0.00477551020408162,NA
66,9456,43,0,"FLORIDA","TRAMMELL  P",-0.354,-0.379,"","N","D",-0.261775510204082,NA,NA,0.0922244897959184,NA
66,3216,43,0,"FLORIDA","FLETCHER  D",-0.234,-0.667,"","N","D",-0.261775510204082,NA,NA,-0.0277755102040816,NA
66,8633,44,0,"GEORGIA","SMITH  H.",-0.092,-0.441,"","N","D",-0.261775510204082,NA,NA,-0.169775510204082,NA
66,4120,44,0,"GEORGIA","HARRIS  W.J",-0.403,-0.7,"","N","D",-0.261775510204082,NA,NA,0.141224489795918,NA
66,6986,63,0,"IDAHO","NUGENT  J.F",-0.301,-0.39,"","N","D",-0.261775510204082,NA,NA,0.0392244897959184,NA
66,564,51,0,"KENTUCK","BECKHAM J.C",-0.203,-0.837,"","N","D",-0.261775510204082,NA,NA,-0.0587755102040816,NA
66,8838,51,0,"KENTUCK","STANLEY A.O",-0.324,-0.841,"","N","D",-0.261775510204082,NA,NA,0.0622244897959184,NA
66,3512,45,0,"LOUISIA","GAY  E.J.",-0.26,-0.915,"","N","D",-0.261775510204082,NA,NA,-0.00177551020408162,NA
66,7734,45,0,"LOUISIA","RANSDELL  J",-0.237,-0.838,"","N","D",-0.261775510204082,NA,NA,-0.0247755102040816,NA
66,8658,52,0,"MARYLAN","SMITH  J.W.",-0.237,-0.971,"","N","D",-0.261775510204082,NA,NA,-0.0247755102040816,NA
66,9782,3,0,"MASSACH","WALSH  D.I.",-0.28,0.095,"","N","D",-0.261775510204082,NA,NA,0.0182244897959184,NA
66,4126,46,0,"MISSISS","HARRISON  P",-0.492,-0.723,"","N","D",-0.261775510204082,NA,NA,0.230224489795918,NA
66,10165,46,0,"MISSISS","WILLIAMS  J",-0.198,-0.98,"","N","D",-0.261775510204082,NA,NA,-0.0637755102040816,NA
66,7786,34,0,"MISSOUR","REED  J.A.",-0.111,0.226,"","N","D",-0.261775510204082,NA,NA,-0.150775510204082,NA
66,9788,64,0,"MONTANA","WALSH  T.J.",-0.281,-0.808,"","N","D",-0.261775510204082,NA,NA,0.0192244897959184,NA
66,6837,64,0,"MONTANA","MYERS  H.L.",-0.055,-0.826,"","N","D",-0.261775510204082,NA,NA,-0.206775510204082,NA
66,4454,35,0,"NEBRASK","HITCHCOCK G",-0.302,-0.752,"","N","D",-0.261775510204082,NA,NA,0.0402244897959184,NA
66,7473,65,0,"NEVADA","PITTMAN  K.",-0.237,-0.618,"","N","D",-0.261775510204082,NA,NA,-0.0247755102040816,NA
66,4305,65,0,"NEVADA","HENDERSON C",-0.212,-0.534,"","N","D",-0.261775510204082,NA,NA,-0.0497755102040816,NA
66,5023,66,0,"NEW MEX","JONES  A.A.",-0.252,-0.71,"","N","D",-0.261775510204082,NA,NA,-0.00977551020408163,NA
66,7120,47,0,"NORTH C","OVERMAN L.S",-0.32,-0.743,"","N","D",-0.261775510204082,NA,NA,0.0582244897959184,NA
66,8514,47,0,"NORTH C","SIMMONS F.M",-0.33,-0.892,"","N","D",-0.261775510204082,NA,NA,0.0682244897959184,NA
66,7516,24,0,"OHIO","POMERENE  A",-0.121,-0.758,"","N","D",-0.261775510204082,NA,NA,-0.140775510204082,NA
66,7133,53,0,"OKLAHOM","OWEN  R.L.",-0.3,-0.374,"","N","D",-0.261775510204082,NA,NA,0.0382244897959184,NA
66,3706,53,0,"OKLAHOM","GORE  T.P.",-0.176,0.238,"","N","D",-0.261775510204082,NA,NA,-0.0857755102040816,NA
66,1622,72,0,"OREGON","CHAMBERLAIN",-0.168,-0.516,"","N","D",-0.261775510204082,NA,NA,-0.0937755102040816,NA
66,3544,5,0,"RHODE I","GERRY  P.G.",-0.241,-0.743,"W","Y","D",-0.261775510204082,NA,NA,-0.0207755102040816,NA
66,8613,48,0,"SOUTH C","SMITH  E.D.",-0.366,-0.855,"","N","D",-0.261775510204082,NA,NA,0.104224489795918,NA
66,2552,48,0,"SOUTH C","DIAL  N.B.",-0.303,-0.953,"","N","D",-0.261775510204082,NA,NA,0.0412244897959184,NA
66,4950,37,0,"SOUTH D","JOHNSON E.S",-0.394,-0.522,"","N","D",-0.261775510204082,NA,NA,0.132224489795918,NA
66,8471,54,0,"TENNESS","SHIELDS J.K",-0.07,0.092,"","N","D",-0.261775510204082,NA,NA,-0.191775510204082,NA
66,6293,54,0,"TENNESS","MCKELLAR  K",-0.379,-0.582,"","N","D",-0.261775510204082,NA,NA,0.117224489795918,NA
66,2229,49,0,"TEXAS","CULBERSON C",-0.391,-0.565,"","N","D",-0.261775510204082,NA,NA,0.129224489795918,NA
66,8446,49,0,"TEXAS","SHEPPARD  M",-0.385,-0.482,"","N","D",-0.261775510204082,NA,NA,0.123224489795918,NA
66,5274,67,0,"UTAH","KING  W.H.",-0.173,-0.66,"","N","D",-0.261775510204082,NA,NA,-0.0887755102040816,NA
66,9106,40,0,"VIRGINI","SWANSON C.H",-0.354,-0.935,"","N","D",-0.261775510204082,NA,NA,0.0922244897959184,NA
66,3625,40,0,"VIRGINI","GLASS  C.",-0.287,-0.958,"","N","D",-0.261775510204082,NA,NA,0.0252244897959183,NA
66,5172,68,0,"WYOMING","KENDRICK  J",-0.25,-0.599,"","N","D",-0.261775510204082,NA,NA,-0.0117755102040816,NA
67,4280,41,0,"ALABAMA","HEFLIN  J.",-0.414,-0.568,"","N","D",-0.266025641025641,-0.00425013082155939,-0.261775510204082,0.147974358974359,-0.394
67,9560,41,0,"ALABAMA","UNDERWOOD",-0.207,-0.978,"L","Y","D",-0.266025641025641,-0.00425013082155939,-0.261775510204082,-0.059025641025641,-0.239
67,273,61,0,"ARIZONA","ASHURST  H.",-0.23,-0.217,"","N","D",-0.266025641025641,-0.00425013082155939,-0.261775510204082,-0.036025641025641,-0.263
67,1498,42,0,"ARKANSA","CARAWAY  T.",-0.357,-0.592,"","N","D",-0.266025641025641,-0.00425013082155939,-0.261775510204082,0.090974358974359,NA
67,7986,42,0,"ARKANSA","ROBINSON",-0.336,-0.675,"","N","D",-0.266025641025641,-0.00425013082155939,-0.261775510204082,0.069974358974359,-0.294
67,10304,11,0,"DELAWAR","WOLCOTT  J.",-0.218,-0.948,"","N","D",-0.266025641025641,-0.00425013082155939,-0.261775510204082,-0.048025641025641,-0.257
67,529,11,0,"DELAWAR","BAYARD  T.",-0.249,-0.897,"","N","D",-0.266025641025641,-0.00425013082155939,-0.261775510204082,-0.017025641025641,NA
67,9456,43,0,"FLORIDA","TRAMMELL",-0.253,-0.552,"","N","D",-0.266025641025641,-0.00425013082155939,-0.261775510204082,-0.013025641025641,-0.354
67,3216,43,0,"FLORIDA","FLETCHER",-0.222,-0.701,"","N","D",-0.266025641025641,-0.00425013082155939,-0.261775510204082,-0.044025641025641,-0.234
67,4120,44,0,"GEORGIA","HARRIS  W.",-0.391,-0.619,"","N","D",-0.266025641025641,-0.00425013082155939,-0.261775510204082,0.124974358974359,-0.403
67,9877,44,0,"GEORGIA","WATSON  T.",-0.262,-0.152,"","N","D",-0.266025641025641,-0.00425013082155939,-0.261775510204082,-0.00402564102564101,NA
67,3536,44,0,"GEORGIA","GEORGE  W.",-0.329,-0.761,"","N","D",-0.266025641025641,-0.00425013082155939,-0.261775510204082,0.062974358974359,NA
67,8838,51,0,"KENTUCK","STANLEY  A.",-0.419,-0.896,"","N","D",-0.266025641025641,-0.00425013082155939,-0.261775510204082,0.152974358974359,-0.324
67,7734,45,0,"LOUISIA","RANSDELL",-0.047,-0.706,"","N","D",-0.266025641025641,-0.00425013082155939,-0.261775510204082,-0.219025641025641,-0.237
67,1091,45,0,"LOUISIA","BROUSSARD",0.058,-0.463,"","N","D",-0.266025641025641,-0.00425013082155939,-0.261775510204082,-0.324025641025641,NA
67,9782,3,0,"MASSACH","WALSH  D.I.",-0.227,-0.285,"","N","D",-0.266025641025641,-0.00425013082155939,-0.261775510204082,-0.039025641025641,-0.28
67,4126,46,0,"MISSISS","HARRISON",-0.423,-0.673,"","N","D",-0.266025641025641,-0.00425013082155939,-0.261775510204082,0.156974358974359,-0.492
67,10165,46,0,"MISSISS","WILLIAMS",-0.172,-0.985,"","N","D",-0.266025641025641,-0.00425013082155939,-0.261775510204082,-0.094025641025641,-0.198
67,7786,34,0,"MISSOUR","REED  J.A.",-0.291,-0.112,"","N","D",-0.266025641025641,-0.00425013082155939,-0.261775510204082,0.024974358974359,-0.111
67,9788,64,0,"MONTANA","WALSH  T.J.",-0.255,-0.535,"","N","D",-0.266025641025641,-0.00425013082155939,-0.261775510204082,-0.011025641025641,-0.281
67,6837,64,0,"MONTANA","MYERS  H.L.",-0.198,-0.98,"","N","D",-0.266025641025641,-0.00425013082155939,-0.261775510204082,-0.068025641025641,-0.055
67,4454,35,0,"NEBRASK","HITCHCOCK",-0.254,-0.561,"","N","D",-0.266025641025641,-0.00425013082155939,-0.261775510204082,-0.012025641025641,-0.302
67,7473,65,0,"NEVADA","PITTMAN  K.",-0.285,-0.515,"","N","D",-0.266025641025641,-0.00425013082155939,-0.261775510204082,0.018974358974359,-0.237
67,5023,66,0,"NEW MEX","JONES  A.A.",-0.17,-0.343,"","N","D",-0.266025641025641,-0.00425013082155939,-0.261775510204082,-0.096025641025641,-0.252
67,8514,47,0,"NORTH C","SIMMONS  F.",-0.362,-0.664,"","N","D",-0.266025641025641,-0.00425013082155939,-0.261775510204082,0.095974358974359,-0.33
67,7120,47,0,"NORTH C","OVERMAN  L.",-0.368,-0.751,"","N","D",-0.266025641025641,-0.00425013082155939,-0.261775510204082,0.101974358974359,-0.32
67,7516,24,0,"OHIO","POMERENE",-0.175,-0.847,"","N","D",-0.266025641025641,-0.00425013082155939,-0.261775510204082,-0.091025641025641,-0.121
67,7133,53,0,"OKLAHOM","OWEN  R.L.",-0.149,-0.59,"","N","D",-0.266025641025641,-0.00425013082155939,-0.261775510204082,-0.117025641025641,-0.3
67,3544,5,0,"RHODE I","GERRY  P.G.",-0.35,-0.846,"W","Y","D",-0.266025641025641,-0.00425013082155939,-0.261775510204082,0.083974358974359,-0.241
67,8613,48,0,"SOUTH C","SMITH  E.D.",-0.338,-0.784,"","N","D",-0.266025641025641,-0.00425013082155939,-0.261775510204082,0.071974358974359,-0.366
67,2552,48,0,"SOUTH C","DIAL  N.B.",-0.25,-0.968,"","N","D",-0.266025641025641,-0.00425013082155939,-0.261775510204082,-0.016025641025641,-0.303
67,6293,54,0,"TENNESS","MCKELLAR",-0.305,-0.65,"","N","D",-0.266025641025641,-0.00425013082155939,-0.261775510204082,0.038974358974359,-0.379
67,8471,54,0,"TENNESS","SHIELDS  J.",-0.262,-0.531,"","N","D",-0.266025641025641,-0.00425013082155939,-0.261775510204082,-0.00402564102564101,-0.07
67,2229,49,0,"TEXAS","CULBERSON",-0.402,-0.647,"","N","D",-0.266025641025641,-0.00425013082155939,-0.261775510204082,0.135974358974359,-0.391
