"cong","party","mean_ideo"
66,"D",-0.261775510204082
66,"R",0.407019607843137
67,"D",-0.266025641025641
67,"R",0.414384615384615
68,"D",-0.204395348837209
68,"R",0.397781818181818
69,"D",-0.187785714285714
69,"R",0.409965517241379
70,"D",-0.184085106382979
70,"R",0.39078431372549
71,"D",-0.166022727272727
71,"R",0.336609375
72,"D",-0.0832941176470588
72,"R",0.30426
73,"D",-0.038
73,"R",0.318138888888889
74,"D",-0.032056338028169
74,"R",0.28876
75,"D",-0.028475
75,"R",0.3165
76,"D",-0.0163
76,"R",0.22356
77,"D",-0.0265072463768116
77,"R",0.254586206896552
78,"D",-0.0340508474576271
78,"R",0.238375
79,"D",-0.0305
79,"R",0.235047619047619
80,"D",-0.0328478260869565
80,"R",0.248274509803922
81,"D",-0.123070175438596
81,"R",0.212866666666667
82,"D",-0.09146
82,"R",0.231425531914894
83,"D",-0.08734
83,"R",0.258346153846154
84,"D",-0.148862745098039
84,"R",0.261340425531915
85,"D",-0.182705882352941
85,"R",0.243851063829787
86,"D",-0.227014925373134
86,"R",0.240611111111111
87,"D",-0.248953846153846
87,"R",0.281025
88,"D",-0.255536231884058
88,"R",0.277727272727273
89,"D",-0.293304347826087
89,"R",0.304575757575758
90,"D",-0.289921875
90,"R",0.253756756756757
91,"D",-0.282913793103448
91,"R",0.232454545454545
92,"D",-0.277527272727273
92,"R",0.231933333333333
93,"D",-0.309912280701754
93,"R",0.246452380952381
94,"D",-0.306098360655738
94,"R",0.253540540540541
95,"D",-0.303169230769231
95,"R",0.250552631578947
96,"D",-0.29535593220339
96,"R",0.264853658536585
97,"D",-0.288086956521739
97,"R",0.271518518518519
98,"D",-0.281695652173913
98,"R",0.266490909090909
99,"D",-0.282
99,"R",0.269203703703704
100,"D",-0.310907407407407
100,"R",0.286282608695652
101,"D",-0.307732142857143
101,"R",0.300422222222222
102,"D",-0.312568965517241
102,"R",0.306681818181818
103,"D",-0.312421052631579
103,"R",0.324863636363636
104,"D",-0.3258125
104,"R",0.359454545454545
105,"D",-0.344911111111111
105,"R",0.393109090909091
106,"D",-0.340369565217391
106,"R",0.386178571428571
107,"D",-0.34046
107,"R",0.394
108,"D",-0.330875
108,"R",0.367254901960784
109,"D",-0.343266666666667
109,"R",0.418618181818182
110,"D",-0.3436
110,"R",0.440627450980392
111,"D",-0.345951612903226
111,"R",0.445113636363636
112,"D",-0.333653846153846
112,"R",0.50675
113,"D",-0.362714285714286
113,"R",0.530369565217391
