"cong","icpsr","statecode","district","state","name","ideo","x2","role","leader","party","cong_ideo_mean","party_del","last_cong_ideo_mean","ideo_dif","last_ideo"
66,4962,71,0,"CALIFOR","JOHNSON H.W",0.215,0.949,"","N","R",0.407019607843137,NA,NA,0.192019607843137,NA
66,7422,62,0,"COLORAD","PHIPPS  L.C",0.664,-0.042,"","N","R",0.407019607843137,NA,NA,-0.256980392156863,NA
66,6335,1,0,"CONNECT","MCLEAN  G.P",0.593,0.058,"","N","R",0.407019607843137,NA,NA,-0.185980392156863,NA
66,978,1,0,"CONNECT","BRANDEGEE F",0.883,0.434,"","N","R",0.407019607843137,NA,NA,-0.475980392156863,NA
66,395,11,0,"DELAWAR","BALL  L.H.",0.574,0.05,"","N","R",0.407019607843137,NA,NA,-0.166980392156863,NA
66,858,63,0,"IDAHO","BORAH  W.E.",0.085,0.759,"","N","R",0.407019607843137,NA,NA,0.322019607843137,NA
66,3676,63,0,"IDAHO","GOODING F.R",0.375,0.47,"","N","R",0.407019607843137,NA,NA,0.0320196078431372,NA
66,8456,21,0,"ILLINOI","SHERMAN L.Y",0.718,0.696,"","N","R",0.407019607843137,NA,NA,-0.310980392156863,NA
66,6181,21,0,"ILLINOI","MCCORMICK M",0.413,0.515,"","N","R",0.407019607843137,NA,NA,-0.00598039215686275,NA
66,9875,22,0,"INDIANA","WATSON  J.E",0.516,0.123,"","N","R",0.407019607843137,NA,NA,-0.108980392156863,NA
66,6887,22,0,"INDIANA","NEW  H.S.",0.583,0.103,"","N","R",0.407019607843137,NA,NA,-0.175980392156863,NA
66,2252,31,0,"IOWA","CUMMINS A.B",0.222,0.057,"","N","R",0.407019607843137,NA,NA,0.185019607843137,NA
66,5198,31,0,"IOWA","KENYON  W.S",0.077,0.203,"","N","R",0.407019607843137,NA,NA,0.330019607843137,NA
66,1494,32,0,"KANSAS","CAPPER  A.",0.118,0.199,"","N","R",0.407019607843137,NA,NA,0.289019607843137,NA
66,2269,32,0,"KANSAS","CURTIS  C.",0.27,0.166,"W","Y","R",0.407019607843137,NA,NA,0.137019607843137,NA
66,3919,2,0,"MAINE","HALE  F.",0.326,-0.274,"","N","R",0.407019607843137,NA,NA,0.0810196078431372,NA
66,3113,2,0,"MAINE","FERNALD B.M",0.576,0.233,"","N","R",0.407019607843137,NA,NA,-0.168980392156863,NA
66,3332,52,0,"MARYLAN","FRANCE  J.I",0.43,0.801,"","N","R",0.407019607843137,NA,NA,-0.0229803921568628,NA
66,5738,3,0,"MASSACH","LODGE  H.C.",0.632,0.075,"L","Y","R",0.407019607843137,NA,NA,-0.224980392156863,NA
66,9434,23,0,"MICHIGA","TOWNSEND  C",0.2,-0.153,"","N","R",0.407019607843137,NA,NA,0.207019607843137,NA
66,6890,23,0,"MICHIGA","NEWBERRY  T",0.698,-0.034,"","N","R",0.407019607843137,NA,NA,-0.290980392156863,NA
66,6870,33,0,"MINNESO","NELSON  K.",0.153,-0.336,"","N","R",0.407019607843137,NA,NA,0.254019607843137,NA
66,5143,33,0,"MINNESO","KELLOGG F.B",0.282,-0.314,"","N","R",0.407019607843137,NA,NA,0.125019607843137,NA
66,8790,34,0,"MISSOUR","SPENCER S.P",0.211,-0.079,"","N","R",0.407019607843137,NA,NA,0.196019607843137,NA
66,6960,35,0,"NEBRASK","NORRIS  G.W",0.011,0.99,"","N","R",0.407019607843137,NA,NA,0.396019607843137,NA
66,6750,4,0,"NEW HAM","MOSES  G.H.",0.622,0.386,"","N","R",0.407019607843137,NA,NA,-0.214980392156863,NA
66,5227,4,0,"NEW HAM","KEYES  H.W.",0.261,-0.271,"","N","R",0.407019607843137,NA,NA,0.146019607843137,NA
66,2844,12,0,"NEW JER","EDGE  W.E.",0.488,-0.437,"","N","R",0.407019607843137,NA,NA,-0.0809803921568628,NA
66,3363,12,0,"NEW JER","FRELINGHUYS",0.634,0.165,"","N","R",0.407019607843137,NA,NA,-0.226980392156863,NA
66,3053,66,0,"NEW MEX","FALL  A.B.",0.373,0.252,"","N","R",0.407019607843137,NA,NA,0.0340196078431372,NA
66,9705,13,0,"NEW YOR","WADSWORTH J",0.69,-0.015,"","N","R",0.407019607843137,NA,NA,-0.282980392156863,NA
66,1399,13,0,"NEW YOR","CALDER  W.M",0.632,-0.02,"","N","R",0.407019607843137,NA,NA,-0.224980392156863,NA
66,6208,36,0,"NORTH D","MCCUMBER  P",0.256,-0.698,"","N","R",0.407019607843137,NA,NA,0.151019607843137,NA
66,3849,36,0,"NORTH D","GRONNA  A.J",0.086,0.996,"","N","R",0.407019607843137,NA,NA,0.321019607843137,NA
66,4059,24,0,"OHIO","HARDING W.G",0.522,0,"","N","R",0.407019607843137,NA,NA,-0.114980392156863,NA
66,10203,24,0,"OHIO","WILLIS  F.B",0.531,0.582,"","N","R",0.407019607843137,NA,NA,-0.123980392156863,NA
66,6367,72,0,"OREGON","MCNARY  C.L",0.059,-0.123,"","N","R",0.407019607843137,NA,NA,0.348019607843137,NA
66,5347,14,0,"PENNSYL","KNOX  P.C.",0.75,0.425,"","N","R",0.407019607843137,NA,NA,-0.342980392156863,NA
66,7332,14,0,"PENNSYL","PENROSE  B.",0.809,0.432,"","N","R",0.407019607843137,NA,NA,-0.401980392156863,NA
66,1957,5,0,"RHODE I","COLT  L.B.B",0.251,-0.275,"","N","R",0.407019607843137,NA,NA,0.156019607843137,NA
66,8902,37,0,"SOUTH D","STERLING  T",0.202,-0.219,"","N","R",0.407019607843137,NA,NA,0.205019607843137,NA
